Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
926242,Gradiva,Wilhelm Hermann Jensen,"Jensen, Wilhelm Hermann",,"=""""","=""""",3,,Unknown Binding,,,1903,2024/03/09,2024/03/05,bought,bought (#193),read,"Freud Museum London tarafından düzenlenen bir etkinliğe katılacağım için bu kitabı okudum. ( İlgileniyorsanız buradan kaydolabilirsiniz: https://www.freud.org.uk/event/from-the-library-of-sigmund-freud-delusions-and-dreams-in-jensens-gradiva) şimdi de Freud'un bu kitap üzerine yazdığı analizi -Delusion and Dream in Wilhelm Jensen's Gradiva- okuyorum. Etkinlikten sonra hem kitaplardan çıkardığım notları, hem de etkinlikte aldığım notları bir blog yazısı şeklinde paylaşmayı düşünüyorum. Bu yorumu editler onun da linkini paylaşırım.",,,1,0
24970,Either/Or: A Fragment of Life,Søren Kierkegaard,"Kierkegaard, Søren","Alastair Hannay, Victor Eremita","=""""","=""""",0,Penguin Classics,Paperback,633,1992,1843,,2024/03/10,to-read,to-read (#385),to-read,,,,0,0
6451491,Death (The Art of Living),Todd  May,"May, Todd",,"=""1844651649""","=""9781844651641""",0,Routledge,Paperback,128,2009,2009,,2024/03/10,to-read,to-read (#384),to-read,,,,0,0
22571572,Letters from a Stoic (A Penguin Classics Hardcover),Seneca,"Seneca, Seneca","Coralie Bickford-Smith, Robin Campbell","=""0141395850""","=""9780141395852""",0,Penguin Classics,Hardcover,309,2014,64,,2024/03/10,to-read,to-read (#383),to-read,,,,0,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel","=""""","=""""",4,Norton,Paperback,464,2002,1847,2024/03/06,2021/03/16,,,read,,,,1,0
24499565,The Shakespeare Book: Big Ideas Simply Explained,Stanley Wells,"Wells, Stanley",,"=""""","=""9781465429872""",0,DK Publishing,Hardcover,352,2015,2015,,2024/03/03,to-read,to-read (#382),to-read,,,,0,0
11379998,Sonnets,William Shakespeare,"Shakespeare, William",,"=""0141045388""","=""9780141045382""",4,"Penguin Books, Limited",Paperback,154,2009,1609,2024/03/03,2021/04/29,bought,bought (#125),read,,,,1,0
17794772,Hamlet,William Shakespeare,"Shakespeare, William",Sabahattin Eyüboğlu,"=""9944883069""","=""9789944883061""",4,Türkiye İş Bankası Kültür Yayınları,Paperback,179,2008,1601,2021/05/03,2021/03/16,bought,bought (#9),read,,,,1,0
15772903,Masumiyet ve Tecrübe Şarkıları,William Blake,"Blake, William",Selahattin Özpalabıyıklar,"=""9944884065""","=""9789944884068""",5,ş Bankası Kültür Yayınları,Paperback,168,2008,1794,2021/05/24,2021/05/19,bought,bought (#6),read,,,,1,0
980387,Meaning of Truth (Great Books in Philosophy),William  James,"James, William",,"=""1573921386""","=""9781573921381""",0,Prometheus,Paperback,330,1997,1909,,2024/02/18,"to-read, bought","to-read (#377), bought (#191)",to-read,,,,0,0
1814434,400 Must-Have Words for the TOEFL,Lynn Stafford-Yılmaz,"Stafford-Yılmaz, Lynn",Lawrence J. Zwier,"=""0071443282""","=""9780071443289""",0,McGraw-Hill,Paperback,208,2005,2005,2001/01/01,2021/03/24,,,read,,,,1,0
9477628,Jerusalem: The Biography,Simon Sebag Montefiore,"Montefiore, Simon Sebag",,"=""0297852655""","=""9780297852650""",0,Weidenfeld & Nicolson,Hardcover,752,2011,2011,,2024/02/22,to-read,to-read (#381),to-read,,,,0,0
27826301,Convex Optimization Algorithms,Dmitri P. Bertsekas,"Bertsekas, Dmitri P.",,"=""1886529280""","=""9781886529281""",0,Athena Scientific,Hardcover,564,2015,,,2024/02/19,to-read,to-read (#380),to-read,,,,0,0
78249,Don Juan,Lord Byron,"Byron, Lord","Susan J. Wolfson, Truman Guy Steffan, Peter J. Manning","=""0140424520""","=""9780140424522""",0,Penguin Classics,Paperback,759,2005,1819,,2024/02/18,to-read,to-read (#379),to-read,,,,0,0
61079163,Manfred,Lord Byron,"Byron, Lord",Tamer Gülbek,"=""6254082306""","=""9786254082306""",0,Ötüken Neşriyat,Hardcover,160,2022,1817,,2024/02/18,to-read,to-read (#378),to-read,,,,0,0
33201858,Hebrew Melodies,Lord Byron,"Byron, Lord",,"=""1334354685""","=""9781334354687""",0,Forgotten Books,Paperback,68,2024,1815,,2024/02/09,to-read,to-read (#376),to-read,,,,0,0
222078,The Story of Art,E.H. Gombrich,"Gombrich, E.H.",,"=""071483355X""","=""9780714833552""",0,Phaidon Press LTD,Hardcover,688,1967,1950,,2024/02/09,to-read,to-read (#375),to-read,,,,0,0
695429,Gödel's Proof,Ernest Nagel,"Nagel, Ernest","James Roy Newman, Douglas R. Hofstadter","=""0814758169""","=""9780814758168""",0,NYU Press,Hardcover,125,2001,1958,,2024/02/01,to-read,to-read (#374),to-read,,,,0,0
2658874,The Cambridge Illustrated History of the World's Science,Colin A. Ronan,"Ronan, Colin A.",,"=""2020362376""","=""9782020362375""",0,Cambridge University Press,Hardcover,543,1983,1983,,2024/02/01,to-read,to-read (#373),to-read,,,,0,0
44602881,On Logic and the Theory of Science,Jean Cavaillès,"Cavaillès, Jean","Gaston Bachelard, Georges Canguilhem, Charles Ehresmann","=""173362810X""","=""9781733628105""",0,Urbanomic/Sequence Press,Paperback,144,2021,1947,,2024/02/01,to-read,to-read (#372),to-read,,,,0,0
56870296,Küçük Hans - Beş Yaşında Bir Oğlanın Fobi Analizi,Sigmund Freud,"Freud, Sigmund",Ahmet Fırat,"=""6254051885""","=""9786254051883""",3,Türkiye İş Bankası Kültür Yayınları,Paperback,160,2021,1908,2024/01/27,2024/01/01,bought,bought (#177),read,"1 Şubatta Londra'da bulunan Freud Müzesi tarafından düzenlenen Anna Freud ile ilgili bir eğitime katılacağım: Psychoanalysis after Freud: Anna Freud and Melanie Klein. Anna Freud, babasının aksine yetişkinlerle değil çocuklarla ilgilendiği için bu eğitime katılmadan önce bu kitabı okumak istedim. Okuyunca yorumumu güncelleyeceğim.",,,1,0
254308,Oblomov,Ivan Goncharov,"Goncharov, Ivan","Galya Diment, Stephen Pearl","=""1933480092""","=""9781933480091""",0,Bunim & Bannigan Ltd,Paperback,586,2006,1859,,2024/01/22,to-read,to-read (#371),to-read,,,,0,0
20587488,Didik Didik Freud - Sigmund Freud'un Ailesel ve Tarihsel Romanı,Serol Teber,"Teber, Serol",Şenol Ayla,"=""""","=""""",5,,ebook,99,,,2024/01/22,2024/01/19,,,read,,,,1,0
195494939,Genç Mustafa,Yalın Alpay,"Alpay, Yalın",,"=""6258360300""","=""9786258360301""",5,Kara Karga Yayınları,Paperback,128,2023,2010,2024/01/02,2024/01/01,bought,bought (#178),read,,,,1,0
101306524,AI for the Good: Artificial Intelligence and Ethics (Management for Professionals),Stefan H. Vieweg,"Vieweg, Stefan H.",,"=""3030669122""","=""9783030669126""",0,Springer,Hardcover,270,2021,,,2024/01/16,to-read,to-read (#370),to-read,,,,0,0
27190653,The Logic of Scientific Discovery,Karl Popper,"Popper, Karl",,"=""1614277435""","=""9781614277439""",0,Martino Fine Books,Paperback,480,2014,1934,,2024/01/11,"to-read, to-buy","to-read (#369), to-buy (#89)",to-read,,,,0,0
